UserID,Pur1,Pur2,Pur3,Rec1,Rec2,Rec3,Rec4,Rec5
420.0,1.0,1.0,15.0,10,14,4,27,22
421.0,1.0,1.0,16.0,26,21,4,14,17
422.0,1.0,1.0,17.0,26,21,4,14,7
423.0,1.0,1.0,18.0,6,8,10,13,11
424.0,1.0,1.0,19.0,26,6,15,21,10
425.0,1.0,1.0,20.0,26,21,4,14,17
426.0,1.0,1.0,21.0,26,4,14,17,7
427.0,1.0,1.0,22.0,26,21,4,14,17
428.0,1.0,1.0,23.0,26,21,4,14,17
429.0,1.0,1.0,24.0,26,8,4,14,15
430.0,1.0,1.0,25.0,18,14,4,26,8
431.0,1.0,1.0,26.0,21,4,14,17,7
432.0,1.0,1.0,27.0,26,21,4,14,17
433.0,1.0,2.0,2.0,26,21,4,14,17
434.0,1.0,2.0,3.0,26,21,4,14,17
435.0,1.0,2.0,4.0,26,21,14,17,7
436.0,1.0,2.0,5.0,26,21,4,14,17
437.0,1.0,2.0,6.0,18,8,13,11,17
438.0,1.0,2.0,7.0,26,21,4,14,17
439.0,1.0,2.0,8.0,6,18,13,10,11
440.0,1.0,2.0,9.0,26,21,4,14,17
441.0,1.0,2.0,10.0,18,13,8,3,16
442.0,1.0,2.0,11.0,26,21,4,17,14
443.0,1.0,2.0,12.0,26,4,21,14,7
444.0,1.0,2.0,13.0,6,18,8,10,17
445.0,1.0,2.0,14.0,26,21,4,17,7
446.0,1.0,2.0,15.0,26,21,4,14,17
447.0,1.0,2.0,16.0,26,21,4,14,17
448.0,1.0,2.0,17.0,26,21,4,14,7
449.0,1.0,2.0,18.0,6,8,10,13,11
450.0,1.0,2.0,19.0,26,21,4,14,17
451.0,1.0,2.0,20.0,26,21,4,14,17
452.0,1.0,2.0,21.0,26,4,14,17,7
453.0,1.0,2.0,22.0,26,21,4,14,17
454.0,1.0,2.0,23.0,26,21,4,14,17
455.0,1.0,2.0,24.0,26,21,4,14,17
456.0,1.0,2.0,25.0,26,21,4,14,17
457.0,1.0,2.0,26.0,21,4,14,17,7
458.0,1.0,2.0,27.0,26,21,4,14,17
459.0,1.0,3.0,3.0,26,21,4,14,17
460.0,1.0,3.0,4.0,26,21,14,17,7
461.0,1.0,3.0,5.0,26,21,4,14,17
462.0,1.0,3.0,6.0,18,8,13,11,17
463.0,1.0,3.0,7.0,26,21,4,14,17
464.0,1.0,3.0,8.0,6,18,13,10,11
465.0,1.0,3.0,9.0,26,21,4,14,17
466.0,1.0,3.0,10.0,18,13,8,16,21
467.0,1.0,3.0,11.0,26,21,4,17,14
468.0,1.0,3.0,12.0,26,4,21,14,7
469.0,1.0,3.0,13.0,6,18,8,10,17
470.0,1.0,3.0,14.0,26,21,4,17,7
471.0,1.0,3.0,15.0,26,21,4,14,17
472.0,1.0,3.0,16.0,26,21,4,14,17
473.0,1.0,3.0,17.0,26,21,4,14,7
474.0,1.0,3.0,18.0,6,8,10,13,11
475.0,1.0,3.0,19.0,26,21,4,14,17
476.0,1.0,3.0,20.0,26,21,4,14,17
477.0,1.0,3.0,21.0,26,4,14,17,7
478.0,1.0,3.0,22.0,26,21,4,14,17
479.0,1.0,3.0,23.0,26,21,4,14,17
480.0,1.0,3.0,24.0,26,21,4,14,17
481.0,1.0,3.0,25.0,26,21,4,14,17
482.0,1.0,3.0,26.0,21,4,14,17,7
483.0,1.0,3.0,27.0,26,21,4,14,17
484.0,1.0,4.0,4.0,26,21,14,17,7
485.0,1.0,4.0,5.0,26,21,14,17,7
486.0,1.0,4.0,6.0,18,8,13,11,17
487.0,1.0,4.0,7.0,26,21,14,17,16
488.0,1.0,4.0,8.0,6,18,13,17,11
489.0,1.0,4.0,9.0,26,21,14,17,7
490.0,1.0,4.0,10.0,18,13,8,21,3
491.0,1.0,4.0,11.0,26,21,14,17,7
492.0,1.0,4.0,12.0,26,21,14,7,17
493.0,1.0,4.0,13.0,6,18,8,26,17
494.0,1.0,4.0,14.0,26,21,17,7,16
495.0,1.0,4.0,15.0,26,21,14,17,7
496.0,1.0,4.0,16.0,26,21,14,17,7
497.0,1.0,4.0,17.0,26,21,14,7,16
498.0,1.0,4.0,18.0,6,8,13,10,11
499.0,1.0,4.0,19.0,26,21,14,17,7
500.0,1.0,4.0,20.0,26,21,14,17,7
501.0,1.0,4.0,21.0,26,14,17,7,16
502.0,1.0,4.0,22.0,26,21,14,17,7
503.0,1.0,4.0,23.0,26,21,14,17,7
504.0,1.0,4.0,24.0,26,21,14,17,7
505.0,1.0,4.0,25.0,26,21,14,17,7
506.0,1.0,4.0,26.0,21,14,17,7,16
507.0,1.0,4.0,27.0,26,21,14,17,7
508.0,1.0,5.0,5.0,26,21,4,17,14
509.0,1.0,5.0,6.0,18,8,13,11,17
510.0,1.0,5.0,7.0,26,21,4,14,17
511.0,1.0,5.0,8.0,6,18,13,10,11
512.0,1.0,5.0,9.0,26,21,4,14,17
513.0,1.0,5.0,10.0,18,13,8,3,16
514.0,1.0,5.0,11.0,26,21,4,17,14
515.0,1.0,5.0,12.0,26,4,21,14,7
516.0,1.0,5.0,13.0,6,18,8,10,17
517.0,1.0,5.0,14.0,26,21,4,17,7
518.0,1.0,5.0,15.0,26,21,4,14,17
519.0,1.0,5.0,16.0,26,21,4,14,17
520.0,1.0,5.0,17.0,26,21,4,14,7
521.0,1.0,5.0,18.0,6,8,10,13,11
522.0,1.0,5.0,19.0,26,21,4,17,14
523.0,1.0,5.0,20.0,26,21,4,14,17
524.0,1.0,5.0,21.0,26,4,14,17,7
525.0,1.0,5.0,22.0,26,21,4,14,17
526.0,1.0,5.0,23.0,26,21,4,14,17
527.0,1.0,5.0,24.0,26,21,4,14,17
528.0,1.0,5.0,25.0,26,21,4,14,17
529.0,1.0,5.0,26.0,21,4,14,17,7
530.0,1.0,5.0,27.0,26,21,4,14,17
531.0,1.0,6.0,6.0,18,8,13,11,5
532.0,1.0,6.0,7.0,18,8,13,11,17
533.0,1.0,6.0,8.0,18,13,11,5,17
534.0,1.0,6.0,9.0,18,8,13,11,17
535.0,1.0,6.0,10.0,18,8,13,11,5
536.0,1.0,6.0,11.0,18,8,13,17,5
537.0,1.0,6.0,12.0,18,8,13,11,5
538.0,1.0,6.0,13.0,18,8,11,17,5
539.0,1.0,6.0,14.0,18,8,13,11,17
540.0,1.0,6.0,15.0,18,8,13,11,5
541.0,1.0,6.0,16.0,18,8,13,11,17
542.0,1.0,6.0,17.0,18,8,13,11,5
543.0,1.0,6.0,18.0,8,13,11,5,17
544.0,1.0,6.0,19.0,18,8,13,11,17
545.0,1.0,6.0,20.0,18,8,13,11,17
546.0,1.0,6.0,21.0,18,8,13,11,17
547.0,1.0,6.0,22.0,18,8,13,11,17
548.0,1.0,6.0,23.0,18,8,13,11,17
549.0,1.0,6.0,24.0,18,8,13,11,5
550.0,1.0,6.0,25.0,18,8,13,11,5
551.0,1.0,6.0,26.0,8,18,13,17,11
552.0,1.0,6.0,27.0,18,8,13,11,17
553.0,1.0,7.0,7.0,26,21,4,14,17
554.0,1.0,7.0,8.0,6,18,13,10,11
555.0,1.0,7.0,9.0,26,21,4,14,17
556.0,1.0,7.0,10.0,18,13,8,3,21
557.0,1.0,7.0,11.0,26,21,4,17,14
558.0,1.0,7.0,12.0,26,4,21,14,17
559.0,1.0,7.0,13.0,6,18,8,17,11
560.0,1.0,7.0,14.0,26,21,4,17,16
561.0,1.0,7.0,15.0,26,21,4,14,17
562.0,1.0,7.0,16.0,26,21,4,14,17
563.0,1.0,7.0,17.0,26,21,4,14,2
564.0,1.0,7.0,18.0,6,8,13,10,11
565.0,1.0,7.0,19.0,26,21,4,14,17
566.0,1.0,7.0,20.0,26,21,4,14,17
567.0,1.0,7.0,21.0,26,4,14,17,16
568.0,1.0,7.0,22.0,26,21,4,14,17
569.0,1.0,7.0,23.0,26,21,4,14,17
570.0,1.0,7.0,24.0,26,21,4,14,17
571.0,1.0,7.0,25.0,26,21,4,14,17
572.0,1.0,7.0,26.0,21,4,14,17,16
573.0,1.0,7.0,27.0,26,21,4,14,17
574.0,1.0,8.0,8.0,6,18,13,10,11
575.0,1.0,8.0,9.0,6,18,13,10,11
576.0,1.0,8.0,10.0,18,13,3,11,2
577.0,1.0,8.0,11.0,6,18,13,10,17
578.0,1.0,8.0,12.0,6,18,13,10,11
579.0,1.0,8.0,13.0,6,18,10,11,5
580.0,1.0,8.0,14.0,6,18,13,10,17
581.0,1.0,8.0,15.0,6,18,13,10,11
582.0,1.0,8.0,16.0,6,18,13,10,11
583.0,1.0,8.0,17.0,6,18,13,10,11
